Parameter,Standard Error
-23022.133560595306,
1637.2869118067354,
-7239.724674692313,
116.83237533837887,2.275257982819567
-1295.2874203336132,
-1.095090612270311,0.18720242773498022
-59826.23311694137,
84431.41641128954,1.4805701482827514
-1582.0993632828968,1.5120824463095002
-0.6724439573485148,0.2490243699846415
0.43344159745524957,0.12563312437681157
0.9769754621076703,
0.6473114298936598,0.09764857372667636
0.6127039922518532,0.10488827987275107
0.3835006417793269,0.1113636428968747
1.0912325966570782,
-0.02241830214480547,
1.4967519550433976,
0.7944532715001836,0.12322736738783022
1.1003603436730034,
0.5540459466138408,0.14608670033204293
1.625045431169385,
1.06373738263088,0.1210975705569458
0.6755330278520232,0.03689988525270808
0.9499897910891185,0.06707959636241667
0.663530468400369,0.02107716163914517
0.3543488639197738,
0.574685258542277,
0.41716615493826537,0.18429228422236404
-3716342.569116118,
0.821405456007758,0.12306416527206293
1.406136679586954,
0.835595655401675,0.10132336301584788
-0.013899981397098252,0.14804702267165865
0.24468943612544178,
1.1554064448175232,0.024586987946245226
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5515074936960079,0.09860544962028713
-0.6525195929118601,0.12563837246520532
-0.25949491861705665,0.17951995112872438
-1.0872878407616395,0.19056968593649762
0.0245385997514645,
0.2135698090676504,0.12889251926650677
-0.28659127795415507,0.1496458801585377
0.18272393136617016,0.1417333717989247
0.5718435244603778,
-0.14028508455685024,0.27433636807005246
0.37539470981192363,0.14136866246127158
-0.07314823350861832,0.07353105159719055
0.0,0.0
-0.06912742061429732,0.03425388002620966
0.28370903757153243,0.1679237466113772
0.0,0.0
0.0,0.0
-2.7511242862797634,2.2863975336987705
0.0,0.0
0.8485207264619031,0.2704763066691095
0.0,0.0
0.0,0.0
-0.7685407435165299,0.21686632965484917
0.0,0.0
0.007444426042131542,
0.0,0.0
0.41189414531346286,
-0.14152821946365154,
0.0,0.0
0.6560541851694666,0.17701259137525316
0.0,0.0
0.0,0.0
-0.26468770969063554,
0.0,0.0
0.0,0.0
0.0,0.0
0.006455551500922547,0.036915253998902976
-0.7524061954321976,0.06435921696379925
0.4327043015674534,0.0714311355145192
-0.4621213423195249,0.07915209781411592
0.0,0.0
0.4114281273885799,
-0.6701951575950685,
0.0,0.0
0.0,0.0
0.0,0.0
0.1644528407465558,0.01573829339258937
1.380471744621004,
-0.45736389125462523,0.24835734963187528
0.034275719852734976,0.16460509648873026
0.5561472309136593,0.15595672084096016
-1.3334378863261127,0.1948014156863101
0.32986126236743335,
-0.20755692304311907,
0.32445410246744416,
-0.8079531113312062,
-0.2119969196846931,0.07134109047678007
-0.9155123985990153,
0.07085834290615402,0.04335144725639935
0.7100655523497283,0.13092037315666205
-0.5340553227930271,0.0717770712301838
0.0,0.0
0.0,0.0
-0.294766378600057,
0.9320395944760614,
0.1534009032215674,
0.12602477498470338,
0.32208137743983345,
-0.14028365848393867,0.037062124266740416
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.09272872258287486,0.2086925234105542
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.3256182452717468,
0.0,0.0
0.0,0.0
0.11980739927238952,
0.4191539493706259,0.1577016304605923
0.0,0.0
0.0,0.0
1.9568735225812832,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.3903735508524777,
0.23536647018461396,
0.06949339246090852,
0.0,0.0
0.0,0.0
-2.419137398497651,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.372998737076746,
0.0,0.0
0.0,0.0
0.0,0.0
-0.016244504721272444,0.017353504293531597
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.38024595420582263,0.17183822642583338
0.4846892532907643,0.12352112187983876
0.15180578389946725,0.24606491300688782
0.8232422563879159,0.2660529839875012
0.0,0.0
0.0,0.0
0.0,0.0
-0.06422966918269658,0.03109460877294623
0.8011582908782379,
0.0,0.0
0.0,0.0
0.0,0.0
-0.1431311199240656,0.0713770759719719
-0.17196263168475334,
-0.18158615576579645,0.17426567044861252
0.2038404838025009,0.12444611275837963
-1.2082335526995438,
-0.10258321216904909,0.05124040074904105
0.0,0.0
0.0,0.0
0.0,0.0
-0.21990970902796328,0.12147561566682764
0.0,0.0
0.0,0.0
0.0454757315509564,0.014583958561892723
0.08892408548018164,
0.0,0.0
0.23144977336561134,
0.0,0.0
-0.07799322894038005,
-1.2766580744024125,0.21554172450569786
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.3686207472846757,
0.0,0.0
0.08688147526010914,0.1153460191332005
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.3331570665225555,0.16903895300907731
0.0,0.0
-0.003124945525497549,0.06477667241929179
0.0,0.0
0.04414090784062867,0.03255002916999575
0.0,0.0
0.0,0.0
0.0,0.0
3429277.341078128,
0.024055055663175662,0.10977298605080116
0.44174039215979805,0.1730712293755529
0.0,0.0
-0.7038723806469276,0.23659858211684734
-0.11884271200387513,0.13611961306071732
-67240.82199119785,
-0.7014334522365246,
0.01487644075220514,0.07355017953307072
0.0,0.0
0.020218599123623303,0.03493189488842967
0.4323601269440532,0.0052194411847625395
0.0,0.0
0.8647751284081086,0.1865891357710007
3161309.697914091,
-0.0601899263872713,0.10942994537932844
-0.6916635820650778,0.41785731360206785
0.7616644625457937,0.17041258417741095
0.0,0.0
-0.16764271353277882,
-61986.53639711946,
0.07251860374168306,
0.07428716320259043,0.07485231109957546
-0.02203259705406603,
-0.2352500238029369,
0.13705336480130398,
-0.6223812740938484,
-1221343.1000257987,
0.0032760345694269493,
-0.16283981804021735,0.3525936252255618
-0.024023192213780065,0.1559717613334826
0.0,0.0
0.0,0.0
23947.891395244093,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.07076587795767185,0.010416653379522285
-0.41506703259206057,0.06191034313874364
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.053317471750242366,0.12006562659814597
0.6265959052979122,0.09970487670297531
-0.0086924315503402,0.1656376659840709
0.0,0.0
0.03606979403548653,0.1146126651454216
-0.28177231150412185,0.27555848943327155
0.0,0.0
0.0,0.0
0.0,0.0
0.16347766806295425,0.050107546482191775
-0.1269852283948377,
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.08616399268501242,
1313302.7811442493,
-0.2536091690847108,
-0.8416333200724306,
0.062379438179041694,
